player_id,birth_year,birth_month,birth_day,birth_country,birth_state,birth_city,death_year,death_month,death_day,death_country,death_state,death_city,name_first,name_last,name_given,weight,height,bats,throws,debut,final_game,retro_id,bbref_id
aardsda01,1981,12,27,USA,CO,Denver,,,,,,,David,Aardsma,David Allan,205,75,R,R,2004-04-06,2013-09-28,aardd001,aardsda01
aaronha01,1934,2,5,USA,AL,Mobile,,,,,,,Hank,Aaron,Henry Louis,180,72,R,R,1954-04-13,1976-10-03,aaroh101,aaronha01
aaronto01,1939,8,5,USA,AL,Mobile,1984,8,16,USA,GA,Atlanta,Tommie,Aaron,Tommie Lee,190,75,R,R,1962-04-10,1971-09-26,aarot101,aaronto01
aasedo01,1954,9,8,USA,CA,Orange,,,,,,,Don,Aase,Donald William,190,75,R,R,1977-07-26,1990-10-03,aased001,aasedo01
abadan01,1972,8,25,USA,FL,Palm Beach,,,,,,,Andy,Abad,Fausto Andres,184,73,L,L,2001-09-10,2006-04-13,abada001,abadan01
abadfe01,1985,12,17,D.R.,La Romana,La Romana,,,,,,,Fernando,Abad,Fernando Antonio,220,73,L,L,2010-07-28,2013-09-27,abadf001,abadfe01
geisbi01,1858,7,15,USA,IL,Chicago,1924,9,18,USA,IL,Chicago,Bill,Geiss,William J.,164,70,,,1882-07-19,1884-08-13,geisb101,geisbi01
geiseda01,1955,1,18,USA,PA,Windber,,,,,,,Dave,Geisel,John David,210,75,L,L,1978-06-13,1985-05-18,geisd001,geiseda01
geishve01,1946,1,10,USA,WI,Madison,,,,,,,Vern,Geishert,Vernon William,215,73,R,R,1969-08-26,1969-10-02,geisv101,geishve01
geissem01,1867,3,20,USA,IL,Chicago,1911,10,4,USA,IL,Chicago,Emil,Geiss,Emil August,170,71,R,R,1887-05-18,1887-05-18,geise101,geissem01
gelbech01,1906,1,26,USA,PA,Scranton,1967,1,13,USA,PA,Easton,Charlie,Gelbert,Charles Magnus,170,71,R,R,1929-04-16,1940-09-28,gelbc101,gelbech01
gelnajo01,1943,6,25,USA,OK,Granite,,,,,,,John,Gelnar,John Richard,185,74,R,R,1964-08-04,1971-04-30,gelnj101,gelnajo01
geltzst01,1987,11,1,USA,NY,Newfane,,,,,,,Steve,Geltz,Steven A.,185,69,R,R,2012-08-16,2012-08-17,gelts001,geltzst01
